,Date,Open,High,Low,Close,Volume,Adj Close
1044,2019-04-16,10905.63,10927.85,10876.34,10927.85,132926575,10927.85
1045,2019-04-17,10961.61,11016.92,10961.61,10997.26,169230514,10997.26
1046,2019-04-18,11038.24,11077.99,10926.85,10962.02,181195007,10962.02
1047,2019-04-19,11017.69,11045.08,10950.43,10968.5,128772067,10968.5
1048,2019-04-22,10994.52,11027.49,10974.82,10987.71,112071815,10987.71
1049,2019-04-23,10994.28,11025.68,10949.3,11025.68,111934323,11025.68
1050,2019-04-24,11054.02,11070.85,10995.83,11027.64,126239530,11027.64
1051,2019-04-25,11017.73,11046.77,11006.68,11039.86,115604479,11039.86
1052,2019-04-26,10986.53,10986.53,10906.44,10952.47,115750710,10952.47
1053,2019-04-29,10952.91,10992.55,10905.78,10939.06,121164845,10939.06
1054,2019-04-30,10945.94,10978.1,10910.78,10967.73,108627535,10967.73
1055,2019-05-02,10992.76,11046.64,10988.7,11004.49,104259650,11004.49
1056,2019-05-03,11037.99,11097.0,11018.86,11096.3,116072004,11096.3
1057,2019-05-06,11005.36,11005.36,10870.4,10897.12,138858511,10897.12
1058,2019-05-07,10913.95,11004.76,10913.95,10987.14,112796899,10987.14
1059,2019-05-08,10938.47,10946.82,10867.06,10923.71,110640781,10923.71
1060,2019-05-09,10910.47,10910.47,10732.97,10733.67,141861986,10733.67
1061,2019-05-10,10751.55,10834.69,10669.39,10712.99,125459729,10712.99
1062,2019-05-13,10684.04,10693.44,10549.06,10558.29,114276157,10558.29
1063,2019-05-14,10480.21,10544.97,10363.02,10519.25,140099246,10519.25
1064,2019-05-15,10535.24,10612.5,10535.24,10560.71,115662192,10560.71
1065,2019-05-16,10556.58,10573.93,10474.61,10474.61,114790379,10474.61
1066,2019-05-17,10508.56,10564.97,10384.11,10384.11,132151993,10384.11
1067,2019-05-20,10405.36,10465.84,10385.18,10398.41,108640936,10398.41
1068,2019-05-21,10362.35,10477.2,10342.32,10464.5,129860210,10464.5
1069,2019-05-22,10481.1,10520.62,10453.5,10457.22,96097988,10457.22
1070,2019-05-23,10404.0,10404.0,10289.69,10308.37,119229076,10308.37
